id,Country,2009,2010,2011,2012
0,World Total,-0.268053908,2.60E-01,1.20E-01,3.92E-02
4,Afghanistan,8.279748782,-9.08E-01,1.41E+00,-4.11E-01
8,Albania,1.880858041,2.51E+00,-1.47E-02,9.72E-02
12,Algeria,-0.400995184,-1.00E+00,2.71E+01,7.82E-01
20,Andorra,0,0.00E+00,0.00E+00,0.00E+00
24,Angola,0,0.00E+00,0.00E+00,0.00E+00
28,Antigua and Barbuda,-0.836174131,2.00E+00,1.84E+01,8.25E-01
31,Azerbaijan,-0.952218057,7.24E+00,1.58E+00,2.00E+00
32,Argentina,-0.623557596,1.67E-01,2.99E-01,-1.89E-01
36,Australia,0.121309559,-5.58E-02,3.53E-01,-1.09E-01
40,Austria,-0.329305982,2.18E-01,6.00E-01,-1.63E-03
44,Bahamas,0.036689426,-8.81E-02,-5.48E-01,8.21E-01
48,Bahrain,-0.766318457,-6.99E-01,-2.15E-01,5.37E-02
50,Bangladesh,-0.382393735,-6.57E-02,2.54E-01,2.48E-01
51,Armenia,23.36316889,1.92E+00,5.82E-01,1.92E-01
52,Barbados,3.758199631,-5.16E-01,-9.09E-02,1.48E-02
56,Belgium,-0.517417423,5.58E-01,2.57E-01,9.70E-01
60,Bermuda,-0.40563444,2.32E-01,2.48E-01,-7.09E-01
64,Bhutan,0,0.00E+00,9.47E-01,1.75E+01
68,Bolivia,0.498809558,4.50E-01,-1.06E-01,-1.67E-01
70,Bosnia and Herzegovina,-0.34248536,-1.43E-01,4.37E-01,2.88E-01
72,Botswana,0.820584498,-8.58E-01,0.00E+00,0.00E+00
76,Brazil,-0.457492066,-5.28E-02,1.91E-01,-5.71E-02
84,Belize,-0.797687369,1.15E+00,-7.41E-02,8.39E-01
86,British Indian Ocean Territories,0,1.45E+00,-4.43E-01,0.00E+00
90,Solomon Islands,0,0.00E+00,0.00E+00,0.00E+00
92,British Virgin Islands,1.484198231,-7.62E-01,-4.53E-01,9.38E+00
96,Brunei,0,-1.29E-01,0.00E+00,0.00E+00
100,Bulgaria,-0.207562908,5.49E-02,1.76E+00,-4.43E-02
104,Burma,0,0.00E+00,0.00E+00,0.00E+00
108,Burundi,-0.827939349,0.00E+00,0.00E+00,-5.77E-02
112,Belarus,-0.976977139,7.59E-02,7.75E+00,-8.88E-01
116,Cambodia,0.037064263,-3.39E-01,1.45E+00,1.20E-01
120,Cameroon,-0.845080272,-7.76E-01,4.29E-01,4.51E-01
124,Canada,-0.399473132,2.52E-01,1.94E-01,1.05E-01
132,Cape Verde,-0.848737458,0.00E+00,0.00E+00,-9.37E-01
136,Cayman Islands,-0.724760072,5.30E-01,3.14E+00,-3.73E-01
140,Central African Republic,0,0.00E+00,-4.04E-01,-3.48E-01
144,Sri Lanka,-0.263109127,-3.98E-01,8.88E-01,-1.24E-01
148,Chad,0,0.00E+00,0.00E+00,0.00E+00
152,Chile,-0.316044131,2.53E-01,6.70E-01,2.03E-01
156,China,-0.106045035,1.82E-01,8.96E-02,2.10E-01
158,Taiwan,-0.271392979,3.27E-01,1.26E-01,7.96E-02
162,Christmas Island,0,0.00E+00,0.00E+00,-9.91E-01
166,Cocos (Keeling) Islands,0,0.00E+00,5.38E+00,-5.35E-01
170,Colombia,-0.056845436,1.63E-01,1.38E-01,-2.56E-01
174,Comoros,0,0.00E+00,0.00E+00,1.29E+00
175,Mayotte,0,0.00E+00,0.00E+00,0.00E+00
178,Congo (Brazzaville),0,0.00E+00,2.09E+00,-7.71E-01
180,Congo (Kinshasa),0,6.20E-01,3.26E+00,-8.51E-01
184,Cook Islands,-0.987360274,1.20E+01,0.00E+00,0.00E+00
188,Costa Rica,-0.257348954,9.84E-01,2.55E-01,1.11E-01
191,Croatia,0.354436821,-1.20E-01,-5.64E-03,6.50E-01
192,Cuba,0,0.00E+00,0.00E+00,0.00E+00
196,Cyprus,-0.881960534,1.31E-01,-9.58E-01,1.10E+02
203,Czech Republic,-0.418771728,6.18E-01,5.28E-01,2.25E-02
204,Benin,0,-8.76E-01,0.00E+00,0.00E+00
208,Denmark,-0.098031154,-4.18E-03,8.77E-02,4.48E-03
212,Dominica,73.12208259,-6.65E-01,-9.93E-01,3.42E+01
214,Dominican Republic,-0.607148377,8.38E-01,7.24E-02,-3.55E-02
218,Ecuador,0.227053627,-4.93E-01,1.55E+00,-5.06E-01
222,El Salvador,0.33487667,1.47E+00,-5.57E-02,2.70E-01
226,Equatorial Guinea,-0.142306388,-7.60E-01,1.30E-01,-4.80E-01
231,Ethiopia,-0.060650492,-1.03E-01,1.07E+00,-5.71E-01
232,Eritrea,0,0.00E+00,0.00E+00,0.00E+00
233,Estonia,-0.020981084,3.50E+01,-8.31E-01,-7.53E-01
234,Faroe Islands,1.251379479,1.96E+00,1.60E+00,-4.30E-01
238,Falkland Islands (Islas Malvinas),0,0.00E+00,0.00E+00,-9.96E-01
242,Fiji,-0.770850502,3.74E+00,2.29E+00,-3.44E-01
246,Finland,-0.349510989,2.13E-01,8.22E-02,-2.61E-01
250,France,-0.289483495,1.08E-01,4.01E-01,-1.34E-02
254,French Guiana,0,0.00E+00,0.00E+00,0.00E+00
258,French Polynesia,-0.759885857,6.17E-01,8.04E-02,-3.67E-01
260,French Southern and Antarctic Lands,0,0.00E+00,0.00E+00,0.00E+00
262,Djibouti,0,0.00E+00,0.00E+00,0.00E+00
266,Gabon,-0.996700276,3.88E+00,0.00E+00,0.00E+00
268,Georgia,-0.537155362,9.78E-01,-5.28E-01,-6.63E-01
270,Gambia,-0.629193723,0.00E+00,0.00E+00,0.00E+00
276,Germany,-0.287601293,2.32E-01,2.49E-01,-3.54E-02
288,Ghana,22.72336384,3.30E+00,-2.12E-01,4.65E-02
292,Gibraltar,2.992559837,-7.04E-01,-7.86E-01,0.00E+00
296,Kiribati,0,0.00E+00,0.00E+00,0.00E+00
300,Greece,-0.101523873,3.35E-01,3.88E-02,-7.70E-02
304,Greenland,0,0.00E+00,0.00E+00,1.34E+00
308,Grenada,0,4.29E+00,-9.80E-01,5.78E+00
312,Guadeloupe,3.207331976,-7.59E-01,1.59E+00,9.55E+00
320,Guatemala,-0.113208146,-2.57E-01,-6.75E-02,3.24E-01
324,Guinea,-0.447014313,8.83E+00,-9.18E-01,-5.25E-01
328,Guyana,-0.789226665,5.78E-01,-2.93E-01,-9.80E-01
332,Haiti,0.118911446,-6.09E-01,1.43E+01,-6.58E-01
334,Heard and McDonald Islands,0,0.00E+00,0.00E+00,0.00E+00
336,Vatican City,-0.69398854,0.00E+00,0.00E+00,5.03E+00
340,Honduras,-0.356817677,-3.26E-02,5.57E-02,-2.94E-01
344,Hong Kong,-0.127996038,1.86E-01,2.57E-02,-3.18E-01
348,Hungary,0.019253088,2.08E+00,-1.53E-01,-2.97E-01
352,Iceland,-0.595889515,2.60E-01,9.35E-02,7.52E+00
356,India,-0.210543303,3.39E-01,1.19E-01,-1.37E-02
360,Indonesia,-0.094261944,3.83E-01,-3.41E-02,-3.60E-04
364,Iran,-0.593001436,-5.97E-02,0.00E+00,0.00E+00
368,Iraq,3.34497472,0.00E+00,0.00E+00,0.00E+00
372,Ireland,-0.584953473,3.91E+00,1.61E-02,-5.33E-01
376,Israel,-0.137371052,3.69E-04,7.92E-02,1.44E-02
380,Italy,-0.389978662,5.86E-02,1.82E-01,6.99E-02
384,Cote d'Ivoire,-0.684575229,-9.48E-01,1.58E+00,2.03E+00
388,Jamaica,0.708919537,-8.10E-01,3.78E+00,-9.24E-02
392,Japan,-0.278758739,2.22E-01,1.24E-01,4.26E-02
398,Kazakhstan,28.14901031,1.10E+00,-9.84E-01,5.99E+00
400,Jordan,-0.146607342,-9.43E-02,6.35E-02,1.72E+00
404,Kenya,0.089989413,5.81E-01,2.74E-01,2.82E-01
408,"Korea, North",0,0.00E+00,0.00E+00,0.00E+00
410,"Korea, South",0.009655845,4.24E-02,-9.40E-02,-3.02E-01
414,Kuwait,-0.611800481,-8.76E-01,2.87E+01,-5.17E-02
417,Kyrgyzstan,-0.986799317,9.00E+01,-6.27E-01,1.02E+00
418,Laos,-0.763904396,6.55E-01,-3.68E-01,-9.19E-01
422,Lebanon,-0.206205989,6.28E-02,2.09E-01,1.26E-02
426,Lesotho,-0.60321961,-7.22E-01,0.00E+00,0.00E+00
428,Latvia,-0.719461819,1.66E+00,-2.29E-01,3.66E-01
430,Liberia,0,0.00E+00,-9.90E-01,0.00E+00
434,Libya,0,0.00E+00,-5.68E-01,0.00E+00
438,Liechtenstein,-0.574610396,1.65E-01,-4.01E-01,5.54E-01
440,Lithuania,-0.289227066,2.15E-01,3.31E-01,1.57E+00
442,Luxembourg,-0.265444608,6.71E-01,-1.37E-01,-1.29E-01
446,Macau,-0.696344571,-2.25E-01,-2.92E-01,4.54E-01
450,Madagascar,-0.577491157,5.30E-02,-3.70E-01,1.01E+00
454,Malawi,-0.499169552,-9.01E-01,4.52E+00,0.00E+00
458,Malaysia,-0.087215398,4.09E-01,6.44E-02,-9.89E-02
462,Maldives,0,0.00E+00,0.00E+00,0.00E+00
466,Mali,10.72582612,-2.64E-01,-4.61E-01,-9.42E-01
470,Malta,0.488457772,4.90E+00,-1.44E-01,-5.05E-02
474,Martinique,0,0.00E+00,0.00E+00,0.00E+00
478,Mauritania,0.151126555,-9.25E-01,-6.70E-01,4.82E+00
480,Mauritius,-0.84542964,1.01E+00,1.29E+00,1.32E+00
484,Mexico,-0.165470505,3.89E-01,-4.12E-03,7.23E-02
492,Monaco,-0.500945353,9.25E-01,-3.70E-01,-5.80E-01
496,Mongolia,-0.831246611,-8.63E-01,1.63E+01,-3.38E-01
498,Moldova,-0.582295457,1.90E-01,-4.12E-01,-5.84E-01
499,Montenegro,2.892608619,1.50E+00,9.53E-01,2.50E-01
500,Montserrat,0,1.47E+00,0.00E+00,0.00E+00
504,Morocco,0.354417658,2.67E-01,-2.56E-01,5.64E-01
508,Mozambique,1.622866083,-8.40E-01,1.53E+00,5.73E-01
512,Oman,-0.652728546,1.34E+00,2.92E-01,-3.77E-02
516,Namibia,0.148445285,-4.95E-01,4.13E-01,-4.69E-01
520,Nauru,0,0.00E+00,0.00E+00,0.00E+00
524,Nepal,-0.129642177,1.64E+00,7.37E-02,-4.07E-02
528,Netherlands,0.122111097,3.45E-01,7.63E-02,-2.96E-01
528,Netherlands Antilles,1.510947692,2.83E-01,-9.58E-01,0.00E+00
531,Curacao,0,0.00E+00,0.00E+00,-8.59E-02
533,Aruba,-0.714901422,3.88E+01,-1.65E-01,-2.78E-01
534,Sint Maarten,-0.185990877,4.92E-01,-7.46E-02,1.86E-02
540,New Caledonia,0.055183914,-1.51E-01,9.44E+00,-9.26E-01
548,Vanuatu,0,0.00E+00,1.44E+00,1.35E+00
554,New Zealand,0.380427663,3.05E-01,1.31E+00,1.62E-01
