id,Country,2008,2009,2010,2011,2012
0,World Total,28161063424,25286584138,33145792394,39515244125,43252639802
4,Afghanistan,3428485,981858,1032095,1741,260
8,Albania,1009995,715422,0,10000,10000
12,Algeria,11088234,108231,67368,0,0
20,Andorra,0,0,0,0,0
24,Angola,0,0,0,0,0
28,Antigua and Barbuda,6378,0,4162,0,31584
31,Azerbaijan,0,3350,0,0,0
32,Argentina,18964168,7180190,6523369,8074467,20736346
36,Australia,45842538,79098748,42094870,46148276,77704842
40,Austria,76452119,76386592,94538729,126434277,137353469
44,Bahamas,7019,140870,47733,248144,90780
48,Bahrain,1592919,234636,917955,423958,2250
50,Bangladesh,31915777,39535473,58752153,63145811,47735886
51,Armenia,0,5815,0,0,0
52,Barbados,74250,2485,13157,8004,28414
56,Belgium,117818395,108060223,110563148,128444314,147634843
60,Bermuda,1333671,21763,516752,1253555,361696
64,Bhutan,0,0,0,0,0
68,Bolivia,581325,1311342,3614903,15463499,10070373
70,Bosnia and Herzegovina,2801,46341,78507,21232,14132
72,Botswana,0,0,0,0,1141
76,Brazil,829744298,355410914,239988684,353801593,283726749
84,Belize,2782,102923,282477,27115,23456
86,British Indian Ocean Territories,0,0,0,0,0
90,Solomon Islands,0,0,0,0,0
92,British Virgin Islands,364156,4819,35232,48586,27695
96,Brunei,373259,35936,193795,54472,9635
100,Bulgaria,496295,431272,700265,2930755,2645272
104,Burma,0,0,0,0,0
108,Burundi,0,0,0,451,0
112,Belarus,302690,150816,223622,163528,6317
116,Cambodia,16951283,5373873,2879395,5588585,7408205
120,Cameroon,240118,296,25282,73252,486138
124,Canada,5812903011,4279841327,5932934920,6650404501,7676427304
132,Cape Verde,0,3500,0,0,0
136,Cayman Islands,0,7886,3000,4800,22260
140,Central African Republic,0,12890,2142,0,101902
144,Sri Lanka,9836253,6398588,6042934,8772510,10499796
148,Chad,0,5723,5992,0,0
152,Chile,21721242,18082175,21363286,25251530,55394999
156,China,4490248135,4182310656,4910766879,5466012554,6067588196
158,Taiwan,368052379,329436934,410735630,1083285146,851141384
162,Christmas Island,822967,0,0,0,0
166,Cocos (Keeling) Islands,0,0,0,0,0
170,Colombia,7766073,5082990,6253401,5857358,5722447
174,Comoros,0,0,0,0,0
175,Mayotte,0,0,0,0,0
178,Congo (Brazzaville),168240,0,41863,0,207042
180,Congo (Kinshasa),0,22628,19576,11555,0
184,Cook Islands,0,0,12964,0,0
188,Costa Rica,20182170,15817232,56683007,74076914,98704697
191,Croatia,125392,517011,1156813,217136,402347
192,Cuba,0,0,0,0,0
196,Cyprus,353233,48657,2313,52000,28044
203,Czech Republic,30485609,21359008,23763307,45911911,44244553
204,Benin,0,0,0,0,0
208,Denmark,1016264287,1095465982,1479789766,1789674800,2349489681
212,Dominica,10768,0,19888,0,0
214,Dominican Republic,1165065,1928867,3686837,2421716,6957945
218,Ecuador,1153035,1856434,667187,737353,979172
222,El Salvador,6571594,1690056,936570,1071326,823275
226,Equatorial Guinea,0,0,0,5000,0
231,Ethiopia,2965,101530,2315,154045,1546881
232,Eritrea,0,0,0,0,4662
233,Estonia,101789,764553,2065649,1873204,2051868
234,Faroe Islands,0,0,0,0,0
238,Falkland Islands (Islas Malvinas),0,0,293,0,0
242,Fiji,0,0,0,0,13647
246,Finland,48443942,26332651,27639240,27510389,27963241
250,France,1245339183,1050694944,1216732822,1068510293,989855357
254,French Guiana,0,0,0,0,0
258,French Polynesia,0,13956,15505,15505,0
260,French Southern and Antarctic Lands,0,0,0,0,0
262,Djibouti,2178,0,0,0,22494
266,Gabon,85881,32026,36007,0,68419
268,Georgia,87905,8603,26035,31422,62282
270,Gambia,0,0,18282,0,2124
276,Germany,1487922318,1042098095,1413973801,1799801611,2298975254
288,Ghana,2343275,542958,540108,445459,547455
292,Gibraltar,0,0,0,0,0
296,Kiribati,0,0,0,0,0
300,Greece,6391617,3429159,1870093,2522816,3114743
304,Greenland,0,0,0,0,0
308,Grenada,0,300,0,12273,0
312,Guadeloupe,36418,0,3419,0,2647
320,Guatemala,3597051,10867747,26131844,31914586,64177796
324,Guinea,3240,2500,585,0,0
328,Guyana,0,0,0,4108,1239444
332,Haiti,288471,6370,58222,91810,288625
334,Heard and McDonald Islands,0,0,0,0,0
336,Vatican City,0,4400,0,0,0
340,Honduras,81514124,88079826,148195623,166188038,184078309
344,Hong Kong,44803079,24846430,32146126,33789926,29430767
348,Hungary,46902384,26368102,37310429,24263344,31080226
352,Iceland,186960,1945101,5988454,6125840,10921994
356,India,259442900,218446884,272274553,338217996,434212725
