id,Country,2008,2009,2010,2011,2012
0,World Total,2290872964,-2974281487,-921003959,1806666222,782431384
4,Afghanistan,-2324,2665295,996740,17380430,20192073
8,Albania,18062,25708,65576,273653,356274
12,Algeria,3403226,18330820,59219806,9507307,14730719
20,Andorra,0,2746805,0,0,-6465
24,Angola,6140594,8188577,10963028,1115158,1640173
28,Antigua and Barbuda,142904,67895,329817,-25251,-526375
31,Azerbaijan,395924,1547062,533805,1417007,507742
32,Argentina,42188837,33207688,47609384,48571165,66149080
36,Australia,138132951,110201365,49783383,185135234,103853645
40,Austria,109519937,68438543,10019890,-21691127,-4068658
44,Bahamas,-1891347,7026905,2682649,1331458,819862
48,Bahrain,-2436790,-3650454,928113,5034984,8885227
50,Bangladesh,-16085133,-10105179,-15448586,-28100930,-24863203
51,Armenia,63734,124631,285077,135534,209367
52,Barbados,1081669,393257,125493,403413,658016
56,Belgium,81196729,133367357,77286053,-27376096,1847767
60,Bermuda,13750140,32096441,423342,297429,251558
64,Bhutan,0,0,0,0,0
68,Bolivia,1914220,917860,1535172,3195268,2313925
70,Bosnia and Herzegovina,4865075,4288,0,0,-58300
72,Botswana,7077169,5113563,-184636,-60652,2056
76,Brazil,396509285,194534909,245031937,340589427,176801327
84,Belize,3878429,2125383,1923661,4471452,245440
86,British Indian Ocean Territories,0,0,0,0,0
90,Solomon Islands,0,0,0,5200,-200
92,British Virgin Islands,11537233,6474314,131898,365067,103087
96,Brunei,233205,27224,143084,1438429,-178396
100,Bulgaria,2279211,686109,537394,11407308,119234
104,Burma,2539,3560,0,21043,0
108,Burundi,195265,7085,79850,217302,36470
112,Belarus,-201005,-19752,16840,119233,264434
116,Cambodia,-5873551,-6580507,-3414937,-5666618,-1073276
120,Cameroon,81133,662444,1322,99129,5173874
124,Canada,394386377,-2721321359,-691190150,1076905102,1094620444
132,Cape Verde,414246,3695,0,0,-9870
136,Cayman Islands,25036407,170767,733811,481585,759383
140,Central African Republic,9709,0,92634,29773,61700
144,Sri Lanka,162425,4321329,-845325,-1824170,-2997284
148,Chad,5693233,26954,3490,12553,0
152,Chile,38573336,35257803,31692884,26926600,55057153
156,China,-1363611821,-1343121942,-1380208928,-1438075441,-1045407366
158,Taiwan,-1589754472,-1922645292,-1237502473,-948322063,-1416651857
162,Christmas Island,12150,0,0,65232,48123
166,Cocos (Keeling) Islands,-72144,0,0,0,0
170,Colombia,65217223,56162056,69619886,43162247,78756679
174,Comoros,0,0,0,0,-10000
175,Mayotte,0,0,0,10258,90444
178,Congo (Brazzaville),249558,209482,458120,98218,87160
180,Congo (Kinshasa),522386,449962,46117,8889291,1436168
184,Cook Islands,0,0,5150,35119,0
188,Costa Rica,22326296,7847112,15260227,8030621,7532405
191,Croatia,9613329,6336733,3463398,114393,-51002
192,Cuba,0,0,0,0,0
196,Cyprus,1178893,2896539,149042,312332,16959733
203,Czech Republic,-666440,-7582611,15962944,-3924632,-2568899
204,Benin,90781,456935,798682,1161809,1155561
208,Denmark,16529223,-20595286,-25392929,-46235405,-88190606
212,Dominica,4520,228496,130471,46163,0
214,Dominican Republic,23662999,33747753,29618773,41582130,29319546
218,Ecuador,7076716,9075633,6061254,10325648,7438617
222,El Salvador,15655007,2403629,27006188,4715599,-2375847
226,Equatorial Guinea,6842000,7811,99620,181468,221167
231,Ethiopia,27174251,4359298,6626962,2242031,2413778
232,Eritrea,0,-3231,14080,11386,15274
233,Estonia,1521507,1048056,437383,-11270796,181755
234,Faroe Islands,10489,0,0,0,0
238,Falkland Islands (Islas Malvinas),0,0,0,2941,35455
242,Fiji,-297336,69158,156403,406969,273198
