id,Country,2008,2009,2010,2011,2012
0,World Total,9282301587,6106368538,7090865307,8240433038,9443329555
4,Afghanistan,0,25369,25000,0,0
8,Albania,11808,88710,0,5237,10200
12,Algeria,0,0,0,0,0
20,Andorra,0,0,0,0,0
24,Angola,0,0,0,0,0
28,Antigua and Barbuda,0,5444,17963,20676,5787
31,Azerbaijan,0,0,0,0,0
32,Argentina,54399467,48369064,34435924,30796338,37398179
36,Australia,27846581,22926308,20338999,16570537,18872446
40,Austria,19010823,7393911,15823851,21739933,68760700
44,Bahamas,8000,0,13500,151931,0
48,Bahrain,524118,17100,2660,161006,13004
50,Bangladesh,672924,1608411,4851784,869186,2976832
51,Armenia,0,0,0,0,0
52,Barbados,0,2850,0,0,0
56,Belgium,19215454,19667602,19898337,23060189,30644244
60,Bermuda,30865,0,3039,0,0
64,Bhutan,0,0,0,0,0
68,Bolivia,28964,28382,7838,69333,9237
70,Bosnia and Herzegovina,15620,30214,21968,13616,38488
72,Botswana,0,0,0,0,0
76,Brazil,115956006,107985502,108540716,105096564,136163153
84,Belize,0,0,2090,0,0
86,British Indian Ocean Territories,0,0,0,0,0
90,Solomon Islands,0,0,0,0,0
92,British Virgin Islands,0,0,0,0,13219
96,Brunei,0,0,0,0,0
100,Bulgaria,170618,304921,26636,105052,244586
104,Burma,0,0,0,0,0
108,Burundi,0,0,0,0,0
112,Belarus,3790,0,16629,10316,37893
116,Cambodia,85312,1203,115957,22725,113344
120,Cameroon,0,108610,36911,0,2439
124,Canada,4116308335,2544495104,2945247840,3226480986,3138402286
132,Cape Verde,0,0,0,0,0
136,Cayman Islands,0,0,0,0,0
140,Central African Republic,28012,0,0,0,0
144,Sri Lanka,2922156,1020313,861305,841129,288620
148,Chad,0,0,0,0,0
152,Chile,49848608,31906728,36633138,33462532,99134308
156,China,945176293,771029931,1009385939,1163391670,1292868554
158,Taiwan,143454242,108816599,130537875,176801643,183498908
162,Christmas Island,74392,0,0,0,0
166,Cocos (Keeling) Islands,0,0,0,0,0
170,Colombia,3837735,7982536,8634741,5962602,1442190
174,Comoros,0,0,0,0,0
175,Mayotte,0,0,0,0,0
178,Congo (Brazzaville),0,0,0,0,0
180,Congo (Kinshasa),0,0,38636,0,0
184,Cook Islands,0,0,0,0,0
188,Costa Rica,589130,5875517,5691178,8020994,8616040
191,Croatia,1409274,774215,1402156,94653,132709
192,Cuba,0,0,0,0,0
