id,Country,2008,2009,2010,2011,2012
0,World Total,21581340308,16532310943,19688267067,21923551910,23381672154
4,Afghanistan,35589,8031,107503,3824,0
8,Albania,0,1257,523,33684,11967
12,Algeria,0,18932,0,19462,148697
20,Andorra,388,377,132671,39607,0
24,Angola,0,0,0,6042,0
28,Antigua and Barbuda,2700,0,4000,2100,0
31,Azerbaijan,0,0,0,183028,24376
32,Argentina,13141899,8363601,7029129,8631117,7622000
36,Australia,145315586,138759574,275307382,180468525,168066810
40,Austria,175956395,112125015,131297913,172986230,182379158
44,Bahamas,153497,1100,12201,36429,7732
48,Bahrain,5655474,2947720,211716,6556504,4749648
50,Bangladesh,118604801,121793969,128977406,176925326,202695972
51,Armenia,148811,46427,25775,56669,100717
52,Barbados,37740,55200,67495,69602,147507
56,Belgium,125026430,132276209,84701858,81222961,78369315
60,Bermuda,159966,166420,58288,239157,242540
64,Bhutan,0,0,0,0,0
68,Bolivia,10660,74630,34720,21489,277533
70,Bosnia and Herzegovina,628368,215713,201466,330021,277830
72,Botswana,0,0,0,2500,0
76,Brazil,182519963,79087807,88992240,109648365,112831256
84,Belize,0,0,13649,10000,54479
86,British Indian Ocean Territories,0,0,0,0,0
90,Solomon Islands,0,0,7278,0,0
92,British Virgin Islands,0,91945,10070,362172,85959
96,Brunei,3522717,1784792,14158,0,5769
100,Bulgaria,3574094,1851737,1647869,2793235,3705674
104,Burma,0,0,0,0,0
108,Burundi,0,0,0,0,0
112,Belarus,153020,102586,231864,140344,204208
116,Cambodia,47905242,58550912,107294985,149326750,175414145
120,Cameroon,159850,153876,4300,28170,40761
124,Canada,4959969789,3276650561,3850503300,4028150415,4393622742
132,Cape Verde,5423,277,5920,0,0
136,Cayman Islands,172570,86042,2680,7065,33865
140,Central African Republic,0,0,0,0,0
144,Sri Lanka,60615458,62909847,71529441,92162564,88740299
148,Chad,0,0,0,0,0
152,Chile,9380484,10980038,8087953,11647831,12452445
156,China,4527979726,3979150434,4776725791,5378705882,5771228679
158,Taiwan,505391027,344852374,441722873,501304927,498677559
162,Christmas Island,0,0,0,0,0
166,Cocos (Keeling) Islands,763,25900,0,72800,0
170,Colombia,17869934,21024988,37173750,29036151,33201686
174,Comoros,0,0,0,0,0
175,Mayotte,0,0,0,0,0
178,Congo (Brazzaville),0,2719,7320,0,13097
180,Congo (Kinshasa),0,0,25721,0,0
184,Cook Islands,0,0,42627,0,0
188,Costa Rica,38764897,59403920,126922150,129488520,106342071
191,Croatia,3692731,3015627,4551149,4499399,4194824
192,Cuba,0,0,0,0,0
196,Cyprus,0,16371,3691,8446,34782
203,Czech Republic,35828407,23180541,33921816,52593051,52626940
204,Benin,0,0,280,380,0
208,Denmark,79062396,70909784,78736507,95076347,93873553
212,Dominica,0,2400,0,2251,14018
214,Dominican Republic,11750060,50678495,22325408,26880789,27177654
218,Ecuador,1250597,28428771,6434868,8893631,10869124
222,El Salvador,12428980,7410376,4953421,6689266,5978967
226,Equatorial Guinea,0,3300,0,0,0
231,Ethiopia,314589,440685,1517715,904949,1145380
232,Eritrea,0,0,0,0,0
233,Estonia,5332450,2534524,6003838,13217804,15157314
234,Faroe Islands,22549,0,2535,0,0
238,Falkland Islands (Islas Malvinas),0,0,939,0,0
242,Fiji,39486,22779,0,26440,7741
246,Finland,279935355,168721335,237265325,290348647,291996101
250,France,661300893,432601470,437720146,517899202,477443608
254,French Guiana,5608,0,0,0,0
258,French Polynesia,48653,10680,0,54000,0
260,French Southern and Antarctic Lands,0,0,4800,0,0
262,Djibouti,0,15000,0,0,307
266,Gabon,0,2940,20691,27264,32720
268,Georgia,159813,36985,129670,66689,49726
270,Gambia,280,0,5000,0,40000
276,Germany,1241226280,869372182,924478797,1160797710,1333078953
288,Ghana,411174,501912,551293,4402271,9801998
292,Gibraltar,9158,2217,0,0,0
296,Kiribati,0,0,0,0,0
300,Greece,9127386,2950720,4679516,4435204,5948250
304,Greenland,0,0,0,0,0
308,Grenada,31401,13876,58508,122402,63011
312,Guadeloupe,0,166939,0,142971,11949
320,Guatemala,141194753,120980483,128018700,148225973,124948937
324,Guinea,0,43943,20876,6002,24071
328,Guyana,31879,11411,130245,116864,8531
332,Haiti,0,933,167780,424550,490202
334,Heard and McDonald Islands,0,0,0,0,3419
336,Vatican City,0,0,0,0,0
340,Honduras,32552777,31346551,31900500,34851022,46113506
344,Hong Kong,105762449,41397507,57123311,55110779,45709337
348,Hungary,16652117,12549822,15320871,23375656,17455111
352,Iceland,3300065,1525333,724704,595182,374030
356,India,401391802,343651353,445756173,522157668,659478022
360,Indonesia,200653718,241521275,320974647,381817793,419283929
364,Iran,1313208,1419726,1683400,0,1500
368,Iraq,0,0,0,9500,0
372,Ireland,86605004,60218263,52864660,59244911,55556766
376,Israel,136248348,235287012,216020662,132598948,170214960
380,Italy,902491938,465985072,468949804,671852011,692548190
384,Cote d'Ivoire,2130985,35732856,60624595,107444067,159437341
388,Jamaica,16531769,1166590,88234,388268,137926
392,Japan,769204750,466377706,662553317,758510665,823919722
398,Kazakhstan,0,123366,150231,326099,599986
400,Jordan,128447030,114632995,117893795,107961422,92922962
404,Kenya,150642,1501862,13851998,21513164,28478061
408,"Korea, North",0,0,0,0,0
410,"Korea, South",249008066,192761470,282468285,272607932,356961412
414,Kuwait,940747,17854,72939,202481,187500
417,Kyrgyzstan,0,2928,13454,100514,6140
418,Laos,630,69050,168173,426051,539932
422,Lebanon,238450,20550,567378,331980,15414
426,Lesotho,0,586027,3336186,7003104,7483221
428,Latvia,198209,141155,50393,109392,1665404
430,Liberia,0,0,0,0,0
434,Libya,0,0,0,2294,0
438,Liechtenstein,415567,623267,511916,250956,606915
440,Lithuania,78417,1719271,6266630,1990144,1138933
442,Luxembourg,8592516,950852,3373583,5262664,5891960
446,Macau,13303709,1620348,1217968,309208,397493
450,Madagascar,930081,1636940,2780795,289907,18297
454,Malawi,0,0,0,0,0
458,Malaysia,205430070,166344206,245999246,251883599,226092452
462,Maldives,0,0,0,0,0
466,Mali,0,0,0,307451,21536
470,Malta,408909,327259,178207,313657,688740
474,Martinique,0,0,0,0,0
478,Mauritania,0,218955,256,296,0
480,Mauritius,8402352,15837921,17271206,19522460,22713165
484,Mexico,2618578605,2320409733,2909697652,3028929920,3005389748
492,Monaco,0,6911,3303,28380,196931
496,Mongolia,6404126,0,7538,0,24218
498,Moldova,32301,22503,11493,30104,186379
499,Montenegro,3917,11427,2639,404,0
500,Montserrat,0,0,0,0,5888
504,Morocco,225748,399230,490247,171563,145861
508,Mozambique,2400,0,0,0,0
